epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1642.42,1.65607,1.83963,1.73095,0.44434,0.35353,0.30457,0.11328,2.10697,2.15599,2.04813,0.000841835,0.000841835,0.000841835
77,1663.32,1.64877,1.78518,1.72121,0.4247,0.34029,0.30512,0.10837,2.13631,2.18792,2.09283,0.000824554,0.000824554,0.000824554
78,1685.34,1.66044,1.85084,1.73414,0.41564,0.2923,0.26476,0.09202,2.2336,2.24756,2.1767,0.000807281,0.000807281,0.000807281
79,1705.96,1.66907,1.84164,1.72648,0.43914,0.33527,0.29913,0.10662,2.14432,2.18614,2.08001,0.000790022,0.000790022,0.000790022
80,1728.08,1.60912,1.76872,1.70936,0.36023,0.38357,0.28144,0.10402,2.11649,2.23579,2.09792,0.000772787,0.000772787,0.000772787
81,1748.6,1.63766,1.82069,1.72225,0.42956,0.39879,0.32018,0.11299,2.08909,2.13619,2.04296,0.000755582,0.000755582,0.000755582
82,1769.74,1.65003,1.81405,1.72423,0.41128,0.36696,0.30856,0.1133,2.1076,2.11408,2.04247,0.000738414,0.000738414,0.000738414
83,1791.52,1.64126,1.79217,1.7231,0.49133,0.3578,0.34027,0.12748,2.08549,2.08792,2.05352,0.000721292,0.000721292,0.000721292
84,1812.13,1.64073,1.78278,1.71506,0.48847,0.35949,0.33381,0.12431,2.10422,2.11662,2.05612,0.000704223,0.000704223,0.000704223
85,1834.29,1.61864,1.7653,1.70931,0.44934,0.36585,0.3419,0.12338,2.15985,2.11065,2.12568,0.000687214,0.000687214,0.000687214
86,1854.7,1.62761,1.771,1.72426,0.44261,0.31339,0.29613,0.10721,2.09607,2.13371,2.08099,0.000670274,0.000670274,0.000670274
87,1876.2,1.63703,1.78289,1.72318,0.39187,0.36757,0.3028,0.11129,2.09884,2.10394,2.07485,0.000653408,0.000653408,0.000653408
88,1897.13,1.60168,1.75568,1.70547,0.46029,0.37525,0.33571,0.12107,2.11777,2.12174,2.07314,0.000636625,0.000636625,0.000636625
89,1917.51,1.60825,1.78195,1.6909,0.38586,0.36244,0.28882,0.10816,2.13939,2.16069,2.0923,0.000619932,0.000619932,0.000619932
90,1939.33,1.60441,1.72784,1.69348,0.45851,0.35483,0.32899,0.11795,2.11632,2.06571,2.07547,0.000603336,0.000603336,0.000603336
91,1959.62,1.6122,1.73421,1.70787,0.42127,0.37193,0.31144,0.11017,2.11894,2.15767,2.07019,0.000586845,0.000586845,0.000586845
92,1981.55,1.59849,1.71571,1.69375,0.46652,0.35275,0.30548,0.11265,2.12965,2.16024,2.08264,0.000570466,0.000570466,0.000570466
93,2002.56,1.58583,1.70062,1.69631,0.42501,0.36455,0.31864,0.11491,2.15303,2.17434,2.09472,0.000554206,0.000554206,0.000554206
94,2023.92,1.59789,1.69998,1.68722,0.45318,0.37419,0.32854,0.11973,2.13261,2.09752,2.08084,0.000538072,0.000538072,0.000538072
95,2045.25,1.59707,1.70149,1.68469,0.39817,0.39436,0.3021,0.11545,2.12055,2.11637,2.09287,0.000522071,0.000522071,0.000522071
96,2065.69,1.5756,1.66205,1.66309,0.46185,0.36864,0.3129,0.12199,2.11642,2.13148,2.06776,0.00050621,0.00050621,0.00050621
97,2087.59,1.60139,1.69611,1.68817,0.47491,0.36834,0.32528,0.11821,2.13252,2.10242,2.07278,0.000490497,0.000490497,0.000490497
98,2108.28,1.61858,1.70784,1.70756,0.48089,0.38517,0.31752,0.11749,2.11719,2.13879,2.07516,0.000474938,0.000474938,0.000474938
99,2128.77,1.58722,1.65809,1.67002,0.49538,0.39972,0.3532,0.13026,2.13665,2.04372,2.087,0.000459539,0.000459539,0.000459539
100,2151.35,1.59595,1.68483,1.67829,0.4791,0.32024,0.30241,0.11665,2.1246,2.12017,2.06388,0.000444309,0.000444309,0.000444309
101,2171.72,1.56728,1.6177,1.65066,0.43771,0.3763,0.32921,0.11764,2.16147,2.08965,2.11119,0.000429252,0.000429252,0.000429252
102,2194.14,1.57414,1.6696,1.68434,0.48178,0.33818,0.30779,0.11199,2.12827,2.14741,2.06992,0.000414377,0.000414377,0.000414377
103,2214.57,1.55047,1.62951,1.65832,0.48672,0.34868,0.32509,0.1196,2.14897,2.15123,2.10432,0.000399689,0.000399689,0.000399689
104,2236.21,1.58816,1.66093,1.68081,0.49075,0.37006,0.33255,0.12111,2.12547,2.11716,2.08897,0.000385196,0.000385196,0.000385196
105,2256.93,1.57285,1.63082,1.67201,0.45659,0.35437,0.31182,0.11576,2.14797,2.10413,2.10445,0.000370902,0.000370902,0.000370902
106,2277.71,1.54655,1.62125,1.6539,0.42488,0.38169,0.32076,0.12101,2.16559,2.12061,2.11603,0.000356815,0.000356815,0.000356815
107,2300.06,1.56315,1.63125,1.67071,0.48808,0.36451,0.33038,0.1195,2.15603,2.08106,2.09963,0.000342941,0.000342941,0.000342941
108,2320.9,1.57196,1.61249,1.66911,0.43489,0.3701,0.31553,0.11014,2.15731,2.13511,2.10338,0.000329286,0.000329286,0.000329286
109,2343.26,1.56534,1.63219,1.65027,0.49525,0.35667,0.34664,0.13073,2.09983,2.0658,2.0577,0.000315855,0.000315855,0.000315855
110,2363.98,1.54057,1.6237,1.65467,0.44934,0.37179,0.32236,0.11798,2.13909,2.07873,2.08173,0.000302655,0.000302655,0.000302655
111,2384.7,1.55323,1.60119,1.6495,0.48229,0.34779,0.33931,0.12281,2.15969,2.0595,2.12412,0.000289692,0.000289692,0.000289692
112,2406.3,1.54865,1.5473,1.64122,0.42578,0.3872,0.32119,0.12077,2.15108,2.09864,2.1076,0.000276971,0.000276971,0.000276971
113,2426.59,1.54206,1.59371,1.66007,0.46401,0.39187,0.34665,0.12806,2.12245,2.10728,2.07916,0.000264497,0.000264497,0.000264497
114,2448.59,1.51997,1.57491,1.64081,0.48947,0.36742,0.33009,0.12114,2.14038,2.06061,2.09621,0.000252277,0.000252277,0.000252277
115,2469.1,1.54891,1.56516,1.64882,0.452,0.4018,0.34673,0.13006,2.11931,2.03722,2.07537,0.000240316,0.000240316,0.000240316
116,2490.02,1.52902,1.58346,1.63078,0.46148,0.37534,0.32689,0.12121,2.14115,2.0713,2.10782,0.000228618,0.000228618,0.000228618
117,2511.86,1.54159,1.58471,1.64668,0.43091,0.37155,0.32389,0.11867,2.14488,2.03929,2.10736,0.000217189,0.000217189,0.000217189
118,2532.36,1.5477,1.59722,1.65158,0.42912,0.39535,0.32877,0.12185,2.15699,2.08781,2.10786,0.000206034,0.000206034,0.000206034
119,2554.86,1.52712,1.54169,1.63615,0.43845,0.38751,0.33494,0.12361,2.12169,2.0626,2.07351,0.000195159,0.000195159,0.000195159
120,2575.48,1.51897,1.54058,1.631,0.47031,0.36693,0.33565,0.12486,2.13246,2.06722,2.06817,0.000184566,0.000184566,0.000184566
121,2596.99,1.53625,1.55676,1.63717,0.47998,0.38648,0.34592,0.12618,2.14349,2.03472,2.08808,0.000174262,0.000174262,0.000174262
